"TIME (America/New York)","DAI-ETH Pool ROI (USD)","DAI-ETH HODL ROI (USD)","Impermanent Gain/Loss","DAI-ETH Pool Value","DAI-ETH HODL Value"
"2021-01-31 22:00:00",0.39216860003835885,0.3963252213558841,-0.0029768289320800667,1.387992613819839,1.3921367668247353
"2021-01-31 23:00:00",0.3920665439531401,0.39608587170749354,-0.0028789975142701207,1.3878908638647869,1.3918981351359605
"2021-02-01 00:00:00",0.39675256306342876,0.40087051610525415,-0.002939567215158534,1.3925628266666488,1.3966684273862404
"2021-02-01 01:00:00",0.38919820398158755,0.39189867050220006,-0.0019401315468159375,1.3850311278426346,1.3877234939715464
"2021-02-01 02:00:00",0.3920742407706901,0.3957652623138157,-0.002644442903677713,1.3878985375947568,1.3915784874508066
"2021-02-01 03:00:00",0.4010532323230487,0.4067630958213131,-0.004058866425502017,1.3968505955235746,1.4025433315623648
"2021-02-01 04:00:00",0.39914134781509114,0.40457486267768306,-0.0038684409118882046,1.3949444459555922,1.400361662301479
"2021-02-01 05:00:00",0.3958453458922291,0.40126416272407206,-0.0038670915705920628,1.3916583308083734,1.3970608932121178
"2021-02-01 06:00:00",0.40394037639729774,0.4109319134047622,-0.0049552617961508005,1.3997290792431334,1.406699644248939
"2021-02-01 07:00:00",0.39897805230102623,0.40481992132100286,-0.004158446880852429,1.3947816402671247,1.4006059858603288
"2021-02-01 08:00:00",0.3965426258738485,0.4022846951855634,-0.004094795679813856,1.392353519210285,1.398078364457105
"2021-02-01 09:00:00",0.38936747041196296,0.39296096412275716,-0.0025797519121845136,1.385199886536892,1.3887826011077082
"2021-02-01 10:00:00",0.38334010624950277,0.3857104942228162,-0.001710593939495908,1.3791906022174019,1.3815538799114655
"2021-02-01 11:00:00",0.38780586030125996,0.39025885566733143,-0.0017644162855512402,1.383642960673701,1.3860885979691748
"2021-02-01 12:00:00",0.3935953053049972,0.39735597258707145,-0.0026912736309501195,1.3894150395031488,1.3931644261869234
"2021-02-01 13:00:00",0.3959602200745458,0.40091916238405334,-0.003539777627902918,1.3917728604110162,1.396716927744359
"2021-02-01 14:00:00",0.40211171142694946,0.4075115521246766,-0.0038364450292261987,1.3979058995852065,1.4032895427761551
"2021-02-01 15:00:00",0.4026195738780456,0.4093292587174424,-0.004760906507754514,1.3984122386384925,1.4051017969275423
"2021-02-01 16:00:00",0.4100098349480057,0.41854146450123797,-0.006014367409578614,1.405780331683417,1.4142863695321424
"2021-02-01 17:00:00",0.4137918713805224,0.4241313541059972,-0.007260202997191545,1.409551023418158,1.4198594915543317
"2021-02-01 18:00:00",0.4230552730417869,0.4352809912326965,-0.00851799631263106,1.4187866383317018,1.4309756839308898
"2021-02-01 19:00:00",0.42578499503109835,0.43936348050821317,-0.009433673746064852,1.4215081721738252,1.4350459272622362
"2021-02-01 20:00:00",0.42801835350480655,0.44155127582180964,-0.009387749533424139,1.4237348314056406,1.4372271600064153
"2021-02-01 21:00:00",0.42157259934918634,0.4343415197521199,-0.008902287375143536,1.4173084121068193,1.4300390305141277
"2021-02-01 22:00:00",0.41989192041541923,0.4317563721936697,-0.008286641504568482,1.4156327745825947,1.4274616374335307
"2021-02-01 23:00:00",0.4271030212533633,0.44053273565736606,-0.009322741560520154,1.4228222448093337,1.436211675082328
"2021-02-02 00:00:00",0.42863834813127677,0.4440870507952379,-0.01069790263367687,1.4243529662796242,1.4397553286013185
"2021-02-02 01:00:00",0.43824334358721617,0.4561045642553969,-0.012266440959419977,1.4339291503339475,1.4517367940062427
"2021-02-02 02:00:00",0.4442106642151338,0.4636615275739411,-0.013289181270650485,1.4398785712270894,1.4592710892552216
"2021-02-02 03:00:00",0.46549284019261616,0.4904355486023002,-0.016735180822193163,1.4610969086195185,1.4859647982130273
"2021-02-02 04:00:00",0.45694042418777303,0.478779377752657,-0.014768229726109028,1.4525701466707792,1.4743435915256466
"2021-02-02 05:00:00",0.45770456332655507,0.48023094934202737,-0.015218156346133327,1.453331993677335,1.4757908089420009
"2021-02-02 06:00:00",0.44644787567542377,0.46568679153729864,-0.01312621221188448,1.442109071887965,1.461290278182553
"2021-02-02 07:00:00",0.4505693551874361,0.4702364831244956,-0.013376846624880034,1.4462181884996492,1.4658263223930126
"2021-02-02 08:00:00",0.4510381803348422,0.4716674275370518,-0.014017601270644553,1.4466856073465868,1.4672529745063845
"2021-02-02 09:00:00",0.4541540026303119,0.47503240110444866,-0.014154535492578946,1.4497920833380493,1.470607854408946
"2021-02-02 10:00:00",0.4523794758050377,0.47255299352957736,-0.013699688780765329,1.4480228794309666,1.4681358841314411
"2021-02-02 11:00:00",0.4887214466336578,0.5202037110533373,-0.0207092406042515,1.484255837910558,1.5156436672867084
"2021-02-02 12:00:00",0.47535197203187196,0.5029707157951648,-0.018376102390445292,1.4709264667428565,1.4984623645826562
"2021-02-02 13:00:00",0.4853333148772445,0.516177321542439,-0.020343271348905456,1.480877869284904,1.511629355441624
"2021-02-02 14:00:00",0.49726387294479046,0.5328330082226831,-0.023204833851493634,1.4927726401309398,1.52823508127802
